ID,SP,EG
Guardian_1_Death_2,Ves la mueca de decepcion del guardian y como las pupilas de sus ojos desaparecen,You see the guardian's grimace of disappointment and how the pupils of his eyes disappear.
Guardian_1_Death_3,"El guardian se cae al suelo, y el cuchillo procede a absorver el aura amarilla del cuarto","The guardian falls to the ground, and the knife proceeds to absorb the yellow aura of the room."
Guardian_1_Death_4,Feliidades tu cuchillo tiene el color del gremio en el,"Congratulations, your knife has the guild color on it."
Input_1_1,Presione Enter para continuar.....,Press Enter to continue.....
InventoryOptions_1_1,1.Mostrar inventario,1.Show inventory
InventoryOptions_1_2,2.utilizar objeto del inventario,2.use inventory item
InventoryOptions_1_3,3.Utilizar el don de de clarividencia,3. Use the gift of clairvoyance
InventoryOptions_1_4,4.Atacar,4.Attack
Demo_End_1,Gracias por jugar el demo y esperamos que lo hayas disfrutado,Thanks for playing the demo and we hope you enjoyed it.
Tutorial_1_1,????: Primero selecciona tu clarividencia en las opciones,????: First select your clairvoyance in the options
Tutorial_1_2,????: Perfecto ahora estas viendo los objetos que puedes interactuar con,????: Perfect now you are seeing the objects that you can interact with
Tutorial_1_3 ,????:  escoge uno para agregarlo a tu inventario,????: Choose one to add to your inventory
Tutorial_1_4,????: Perfecto ahora entrega el objeto al guardian,????: Perfect now give the item to the guardian
Items_1,Florero,Vase
Items_2,Cuchillo,Knife
Items_3,Caja,Box
Clairvoyance_1,Es un cuarto amarillo y dentro de este ves tres objetos,It is a yellow room and inside it you see three objects
